c PyNETGEN v1.0.0
c $ pip install pynetgen
c
c  NETGEN flow network generation algorithm
c  Problem input parameters
c  -------------------------------------
c   Random seed:          78075841
c   Number of nodes:      1200
c   Source nodes:         15
c   Sink nodes:           15
c   Number of arcs:       20000
c   Minimum arc cost:     1
c   Maximum arc cost:     50
c   Total supply:         60000
c   Transshipment -
c     Sources:            0
c     Sinks:              0
c   Skeleton arcs -
c     With max cost:      50
c     Capacitated:        100
c   Minimum arc capacity: 1
c   Maximum arc capacity: 10
c
c  *** Minimum cost flow ***
c
p min 1200 20000
n 1 11920
n 2 3954
n 3 2427
n 4 2638
n 5 3458
n 6 6874
n 7 27
n 8 3858
n 9 5112
n 10 10636
n 11 4420
n 12 3320
n 13 384
n 14 568
n 15 404
n 1186 -5341
n 1187 -7877
n 1188 -7533
n 1189 -148
n 1190 -3523
n 1191 -811
n 1192 -7516
n 1193 -9932
n 1194 -846
n 1195 -2565
n 1196 -154
n 1197 -10257
n 1198 -863
n 1199 -101
n 1200 -2533
a 1 68 0 11920 34
a 1 19 0 8 35
a 1 1092 0 9 42
a 1 1049 0 2 45
a 1 596 0 2 43
a 1 1112 0 3 25
a 1 253 0 6 30
a 1 447 0 8 2
a 1 335 0 10 15
a 1 330 0 4 22
a 1 862 0 3 11
a 1 1014 0 4 45
a 1 739 0 3 49
a 1 1056 0 5 31
a 1 80 0 2 4
a 1 257 0 5 46
a 1 154 0 3 45
a 1 162 0 5 6
a 1 660 0 8 12
a 1 875 0 4 5
a 29 1048 0 11920 50
a 29 335 0 6 38
a 29 869 0 4 7
a 29 423 0 7 1
a 29 934 0 7 26
a 29 401 0 8 34
a 29 515 0 7 38
a 29 325 0 10 44
a 29 72 0 2 13
a 29 984 0 2 5
a 29 475 0 4 13
a 29 219 0 3 41
a 29 339 0 10 40
a 29 291 0 2 28
a 29 978 0 2 48
a 29 287 0 9 41
a 29 259 0 5 28
a 29 139 0 1 45
a 43 138 0 11920 46
a 43 756 0 7 10
a 43 797 0 3 29
a 43 395 0 8 2
a 43 648 0 6 6
a 43 399 0 4 9
a 43 847 0 4 33
a 43 802 0 4 21
a 43 727 0 3 44
a 43 1110 0 2 33
a 43 1052 0 8 42
a 43 120 0 3 9
a 43 270 0 1 30
a 43 836 0 9 30
a 43 263 0 3 29
a 43 1035 0 2 41
a 68 171 0 11920 42
a 68 530 0 1 26
a 68 523 0 5 4
a 68 891 0 8 4
a 68 574 0 5 49
a 68 362 0 6 41
a 68 597 0 2 45
a 68 677 0 3 30
a 68 944 0 10 20
a 68 17 0 4 34
a 68 903 0 5 15
a 68 535 0 3 21
a 68 1111 0 6 35
a 68 341 0 2 10
a 68 440 0 2 33
a 68 141 0 8 29
a 68 252 0 10 2
a 68 894 0 3 49
a 68 681 0 3 30
a 68 1094 0 7 38
a 68 1048 0 1 34
a 68 310 0 3 18
a 68 965 0 6 42
a 68 67 0 2 38
a 68 179 0 4 36
a 68 1038 0 8 38
a 68 263 0 8 50
a 69 362 0 11920 50
a 69 933 0 2 40
a 69 384 0 5 34
a 69 1124 0 3 38
a 69 1041 0 8 50
a 69 272 0 4 18
a 69 265 0 10 26
a 69 1073 0 5 1
a 69 759 0 1 39
a 69 532 0 6 11
a 69 861 0 7 35
a 77 686 0 11920 50
a 77 996 0 3 34
a 77 148 0 6 38
a 77 129 0 8 19
a 77 90 0 4 23
a 77 314 0 9 28
a 77 1089 0 5 19
a 85 993 0 11920 42
a 85 203 0 6 43
a 85 501 0 3 5
a 85 770 0 9 34
a 85 1031 0 3 8
a 85 313 0 9 15
a 85 124 0 10 7
a 85 500 0 3 27
a 85 1030 0 9 21
a 85 119 0 2 1
a 85 783 0 7 1
a 85 304 0 10 9
a 85 378 0 4 36
a 85 1139 0 5 18
a 85 207 0 3 9
a 85 540 0 7 15
a 85 100 0 9 50
a 85 1071 0 5 8
a 85 1035 0 4 3
a 85 58 0 7 16
a 85 976 0 8 22
a 85 374 0 9 19
a 85 1175 0 4 36
a 87 29 0 11920 15
a 87 427 0 7 21
a 87 301 0 8 37
a 87 520 0 8 34
a 87 1160 0 7 39
a 87 761 0 7 10
a 87 873 0 4 24
a 87 341 0 8 34
a 87 240 0 7 32
a 87 880 0 1 9
a 87 999 0 4 48
a 87 915 0 9 26
a 87 1142 0 10 38
a 87 80 0 4 11
a 87 56 0 4 16
a 87 535 0 10 38
a 87 324 0 9 26
a 87 1192 0 5 18
a 87 836 0 1 14
a 87 666 0 9 49
a 131 627 0 11920 50
a 131 1094 0 5 30
a 131 628 0 5 40
a 131 219 0 7 8
a 131 1086 0 4 28
a 131 1022 0 7 14
a 131 647 0 6 5
a 131 130 0 6 20
a 131 364 0 8 48
a 131 171 0 7 27
a 131 1126 0 10 47
a 131 596 0 4 21
a 131 1097 0 1 8
a 131 291 0 5 34
a 131 1055 0 1 17
a 131 272 0 10 47
a 131 614 0 4 37
a 131 560 0 1 38
a 131 995 0 4 14
a 131 859 0 7 14
a 131 442 0 1 11
a 132 262 0 11920 50
a 132 830 0 6 17
a 132 1116 0 1 32
a 132 245 0 7 13
a 132 1067 0 4 7
